x,y
-56,7
-100,32
52,-47
-34,18
73,-79
-45,-43
-12,-38
-71,60
45,-42
38,36
-92,42
-56,-39
71,-17
-51,-84
99,48
2,-51
-99,3
-74,69
89,50
-99,-32
0,-22
-2,-30
-66,-81
45,-91
92,21
8,-56
-63,96
-33,70
-39,-32
-30,96
-64,50
-21,-60
-13,-45
-59,73
-18,-66
-88,77
-61,65
42,15
-69,37
-16,-86
-44,-17
-70,65
-70,-75
65,0
-78,68
-35,66
-14,99
69,-4
81,48
78,-95
-24,-27
-82,9
41,34
-77,90
90,-31
19,96
17,-1
85,9
-92,-41
-38,-89
53,-16
-13,87
29,3
-35,83
-99,80
-82,-86
-85,-63
54,-61
-54,63
100,19
16,43
-66,83
97,-78
28,-69
51,-39
-22,-43
-54,24
-26,23
-54,47
70,64
-7,92
36,-65
63,-70
-37,25
84,-72
-20,58
-12,59
55,-21
-72,-20
-60,-78
-15,-19
0,-26
-65,64
58,34
-11,37
49,80
69,-47
20,-34
11,8
-88,8
-27,98
23,81
86,95
55,91
66,95
77,-93
81,74
42,-33
69,16
97,11
-48,-57
79,53
84,-89
99,-60
12,19
46,-61
-31,-24
22,33
17,-72
-77,-9
-45,-50
-43,14
70,95
-31,47
97,9
92,19
-39,-88
-85,50
